,ISIN,Produkt Name,Produkttyp,Basiswert,Begebungsdatum,Brief,Geld
321,DE000MA5M785,"Turbo | Long | DAX ® | 13.850,00 | 21.05.21",Turbo,DAX ®,02.03.2021,"2,480 EUR","2,470 EUR"
322,DE000MA5M7L2,"Turbo | Long | DAX ® | 13.900,00 | 18.06.21",Turbo,DAX ®,02.03.2021,"1,980 EUR","1,970 EUR"
323,DE000MA5M660,"Mini-Future | Long | DAX ® | 13.830,00 | 13.659,2592",Mini-Future,DAX ®,02.03.2021,"3,960 EUR","3,950 EUR"
324,DE000MA5M7E7,"Turbo | Long | DAX ® | 13.870,00 | 19.03.21",Turbo,DAX ®,02.03.2021,"2,250 EUR","2,230 EUR"
325,DE000MA5M371,"Turbo Open End | Long | DAX ® | 13.860,00",Turbo Open End,DAX ®,02.03.2021,"2,230 EUR","2,210 EUR"
326,DE000MA5M8A3,"Turbo | Long | CAC 40 ® | 5.720,00 | 19.03.21",Turbo,CAC 40 ®,02.03.2021,"1,190 EUR","1,180 EUR"
327,DE000MA5MDK0,"Mini-Future | Long | Boralex | 41,00 | 39,0476",Mini-Future,Boralex,02.03.2021,"2,870 EUR","2,730 EUR"
328,DE000MA5M702,"Turbo | Long | DAX ® | 13.820,00 | 19.03.21",Turbo,DAX ®,02.03.2021,"2,740 EUR","2,730 EUR"
329,DE000MA5M7C1,"Turbo | Long | DAX ® | 13.860,00 | 19.03.21",Turbo,DAX ®,02.03.2021,"2,350 EUR","2,330 EUR"
330,DE000MA5M6S9,"Turbo | Long | DAX ® | 13.800,00 | 19.03.21",Turbo,DAX ®,02.03.2021,"2,930 EUR","2,920 EUR"
331,DE000MA5MT24,"Optionsschein | Call | BMW | 102,00 | 16.12.22",Optionsschein,BMW,02.03.2021,"0,260 EUR","0,190 EUR"
332,DE000MA5M256,"Turbo Open End | Short | Christian Dior | 560,00",Turbo Open End,Christian Dior,02.03.2021,-,"0,800 EUR"
333,DE000MA5MSD3,"Optionsschein | Call | BNP Paribas | 80,00 | 17.12.21",Optionsschein,BNP Paribas,02.03.2021,-,"0,025 EUR"
334,DE000MA5M8X5,"Turbo Open End | Long | CAC 40 ® | 5.735,00",Turbo Open End,CAC 40 ®,02.03.2021,"1,010 EUR","1,000 EUR"
335,DE000MA5MS09,"Optionsschein | Call | Commerzbank | 8,00 | 18.06.21",Optionsschein,Commerzbank,02.03.2021,-,-
336,DE000MA5M652,"Mini-Future | Long | DAX ® | 13.820,00 | 13.649,3827",Mini-Future,DAX ®,02.03.2021,"4,050 EUR","4,040 EUR"
337,DE000MA5M2T6,"Turbo Open End | Long | DAX ® | 13.480,00",Turbo Open End,DAX ®,02.03.2021,"5,980 EUR","5,970 EUR"
338,DE000MA5M7D9,"Turbo | Long | DAX ® | 13.870,00 | 18.06.21",Turbo,DAX ®,02.03.2021,"2,280 EUR","2,260 EUR"
339,DE000MA5M7J6,"Turbo | Long | DAX ® | 13.890,00 | 18.06.21",Turbo,DAX ®,02.03.2021,"2,080 EUR","2,070 EUR"
340,DE000MA5M7M0,"Turbo | Long | DAX ® | 13.900,00 | 16.04.21",Turbo,DAX ®,02.03.2021,"1,950 EUR","1,940 EUR"
341,DE000MA5MH51,"Optionsschein | Call | BASF | 87,00 | 17.06.22",Optionsschein,BASF,02.03.2021,"0,218 EUR","0,198 EUR"
